Output Steer,Human Steer,Output Motor,Human Motor,Loss
3.731629252433776855e-01,3.198242187500000000e-01,5.880531072616577148e-01,5.646465420722961426e-01,1.739733619615435600e-03
7.762118577957153320e-01,8.458219766616821289e-01,5.657993555068969727e-01,5.875695943832397461e-01,2.680835546925663948e-03
7.499097287654876709e-02,7.034488022327423096e-02,5.882493257522583008e-01,5.596555471420288086e-01,6.589732365682721138e-04
4.894017279148101807e-01,4.756560325622558594e-01,5.621565580368041992e-01,5.585859417915344238e-01,5.416498752310872078e-04
7.292045950889587402e-01,6.702195405960083008e-01,5.672634243965148926e-01,5.454545617103576660e-01,2.041226951405405998e-03
6.140257716178894043e-01,7.477439641952514648e-01,5.658766031265258789e-01,5.551727414131164551e-01,1.184054557234048843e-02
3.294814527034759521e-01,3.381109833717346191e-01,5.913798809051513672e-01,5.563879013061523438e-01,1.645601121708750725e-03
5.854979753494262695e-01,6.396546363830566406e-01,5.845391750335693359e-01,5.566776990890502930e-01,1.964573515579104424e-03
9.843872189521789551e-01,9.836345911026000977e-01,5.652270317077636719e-01,5.656908750534057617e-01,6.206704711075872183e-05
9.575889706611633301e-01,9.914701581001281738e-01,5.612127184867858887e-01,5.501302480697631836e-01,6.656190380454063416e-04
7.983893156051635742e-01,7.531859874725341797e-01,5.564631819725036621e-01,5.555555224418640137e-01,1.027600606903433800e-03
7.204940915107727051e-01,6.886363029479980469e-01,5.833020210266113281e-01,5.848484635353088379e-01,5.554080707952380180e-04
5.198280215263366699e-01,4.888432025909423828e-01,5.841914415359497070e-01,5.787060260772705078e-01,5.141209694556891918e-04
4.989737644791603088e-02,7.225030567497014999e-03,5.546628236770629883e-01,5.569444894790649414e-01,9.264998370781540871e-04
2.223892658948898315e-01,2.080035507678985596e-01,5.938362479209899902e-01,5.555555224418640137e-01,8.531160419806838036e-04
4.446920454502105713e-01,5.565754175186157227e-01,5.916696190834045410e-01,6.089262366294860840e-01,6.573244929313659668e-03
3.347600102424621582e-01,2.420097887516021729e-01,5.704953074455261230e-01,5.608262419700622559e-01,4.380024503916501999e-03
4.645139575004577637e-01,4.720679223537445068e-01,5.970944166183471680e-01,5.596071481704711914e-01,1.385424518957734108e-03
5.025526285171508789e-01,4.949494898319244385e-01,5.632667541503906250e-01,5.544940233230590820e-01,7.313635433092713356e-05
4.158472120761871338e-01,3.423832356929779053e-01,5.900831818580627441e-01,5.620878934860229492e-01,3.113121259957551956e-03
4.188190773129463196e-02,3.087369538843631744e-02,5.552184581756591797e-01,5.454545617103576660e-01,1.360104652121663094e-04
9.481474757194519043e-01,9.955215454101562500e-01,5.600422620773315430e-01,5.728465318679809570e-01,1.248215558007359505e-03
9.797453880310058594e-01,9.982122182846069336e-01,5.725942850112915039e-01,5.600777864456176758e-01,2.594322722870856524e-04
4.137470126152038574e-01,4.469193816184997559e-01,5.810717940330505371e-01,5.553232431411743164e-01,1.031794003210961819e-03
7.196817994117736816e-01,7.896651029586791992e-01,5.667536854743957520e-01,5.454545617103576660e-01,2.850133460015058517e-03
8.013610839843750000e-01,9.982436895370483398e-01,6.022791862487792969e-01,5.891433954238891602e-01,1.973871141672134399e-02
9.670329093933105469e-02,2.358613908290863037e-01,5.673445463180541992e-01,5.353536009788513184e-01,1.069569215178489685e-02
4.172466695308685303e-01,3.797371983528137207e-01,5.499769449234008789e-01,5.666666626930236816e-01,9.956524008885025978e-04
6.640569120645523071e-02,-5.891197826713323593e-03,5.822690725326538086e-01,5.829979181289672852e-01,2.906232373788952827e-03
8.556320071220397949e-01,7.120733857154846191e-01,5.600715279579162598e-01,5.892009735107421875e-01,1.086029503494501114e-02
5.402472615242004395e-01,4.957695901393890381e-01,5.770280361175537109e-01,5.454545617103576660e-01,1.493853516876697540e-03
8.643361330032348633e-01,8.918801546096801758e-01,5.656028985977172852e-01,5.454545617103576660e-01,6.336403894238173962e-04
3.180183470249176025e-01,7.218164205551147461e-02,5.638757944107055664e-01,5.533453822135925293e-01,3.031476214528083801e-02
9.684748649597167969e-01,9.979951977729797363e-01,5.558916330337524414e-01,5.939899086952209473e-01,1.189852599054574966e-03
8.125535249710083008e-01,7.250674962997436523e-01,5.503823161125183105e-01,5.555555224418640137e-01,3.850988578051328659e-03
1.668018549680709839e-01,7.401946187019348145e-02,6.003044247627258301e-01,6.089575886726379395e-01,4.543981049209833145e-03
6.297408789396286011e-02,-2.437310758978128433e-03,5.683757066726684570e-01,5.464050173759460449e-01,2.390076173469424248e-03
1.029597997665405273e+00,9.991574287414550781e-01,5.691046714782714844e-01,5.978111028671264648e-01,9.290596353821456432e-04
2.700111269950866699e-01,2.814869582653045654e-01,5.663384795188903809e-01,5.563131570816040039e-01,1.236052921740338206e-04
3.633852005004882812e-01,3.862395286560058594e-01,5.867492556571960449e-01,5.723888278007507324e-01,4.192288033664226532e-04
8.089817166328430176e-01,8.613828420639038086e-01,5.564476847648620605e-01,5.550121068954467773e-01,1.387228025123476982e-03
5.907993316650390625e-01,6.589042544364929199e-01,5.796269178390502930e-01,5.903150439262390137e-01,2.421087818220257759e-03
9.758065342903137207e-01,9.677732586860656738e-01,5.431957840919494629e-01,5.454545617103576660e-01,4.369748785393312573e-05
6.385120153427124023e-01,7.196995019912719727e-01,5.541635751724243164e-01,5.563757419586181641e-01,3.353598294779658318e-03
4.981642663478851318e-01,4.909386038780212402e-01,5.852478742599487305e-01,5.982888936996459961e-01,1.330943778157234192e-04
3.045390844345092773e-01,3.560095727443695068e-01,5.986797809600830078e-01,5.715535283088684082e-01,1.765713444910943508e-03
6.063289567828178406e-02,-6.906806025654077530e-03,5.695950984954833984e-01,5.864272713661193848e-01,2.443891717121005058e-03
9.360807538032531738e-01,9.973115921020507812e-01,5.663095116615295410e-01,5.454545617103576660e-01,2.094224561005830765e-03
4.548842310905456543e-01,4.736598432064056396e-01,5.606780052185058594e-01,5.601302981376647949e-01,1.970639859791845083e-04
4.493751525878906250e-01,3.588006496429443359e-01,5.964850187301635742e-01,6.270070672035217285e-01,4.755157046020030975e-03
3.158889412879943848e-01,2.235987633466720581e-01,5.760018229484558105e-01,5.548423528671264648e-01,4.491682630032300949e-03
7.035998702049255371e-01,8.196975588798522949e-01,5.553072094917297363e-01,5.454545617103576660e-01,7.426899857819080353e-03
2.409290373325347900e-01,1.469063609838485718e-01,5.883471369743347168e-01,5.857524871826171875e-01,4.442848730832338333e-03
2.403722256422042847e-01,2.119528353214263916e-01,6.076110601425170898e-01,5.647727251052856445e-01,1.466361922211945057e-03
9.969097375869750977e-02,6.032980605959892273e-02,5.980163812637329102e-01,5.510383844375610352e-01,1.917412504553794861e-03
7.450460195541381836e-01,7.966037988662719727e-01,5.758739113807678223e-01,5.656566023826599121e-01,1.404468901455402374e-03
9.097545742988586426e-01,9.888401031494140625e-01,5.905585885047912598e-01,5.391212701797485352e-01,4.467437975108623505e-03
5.173617005348205566e-01,4.131482243537902832e-01,5.884755849838256836e-01,6.064869165420532227e-01,5.716029554605484009e-03
2.635896801948547363e-01,2.183019816875457764e-01,5.622632503509521484e-01,5.454545617103576660e-01,1.229175482876598835e-03
6.360136270523071289e-01,7.231639623641967773e-01,5.716960430145263672e-01,5.642596483230590820e-01,3.855661256238818169e-03
5.096513032913208008e-01,5.122373700141906738e-01,5.722572207450866699e-01,5.546080470085144043e-01,4.052814911119639874e-04
6.322761774063110352e-01,6.587611436843872070e-01,5.772660970687866211e-01,6.009464263916015625e-01,8.360693464055657387e-04
2.393745929002761841e-01,1.330237686634063721e-01,5.703343152999877930e-01,5.867969393730163574e-01,5.814237054437398911e-03
2.434360235929489136e-01,2.509745061397552490e-01,5.825987458229064941e-01,5.953656435012817383e-01,1.162608750746585429e-04
3.058144450187683105e-01,1.353648453950881958e-01,5.745815038681030273e-01,5.469242334365844727e-01,1.497675664722919464e-02
9.553903341293334961e-01,9.897524118423461914e-01,5.577079057693481445e-01,5.464050173759460449e-01,6.863271701149642467e-04
8.151028752326965332e-01,8.516486883163452148e-01,5.682216286659240723e-01,5.831009745597839355e-01,1.258154865354299545e-03
1.990070790052413940e-01,-3.733088495209813118e-03,6.004244089126586914e-01,5.606333017349243164e-01,2.138346433639526367e-02
