Output Steer,Human Steer,Output Motor,Human Motor,Loss
1.519125141203403473e-02,3.226514905691146851e-02,5.697395801544189453e-01,5.481060147285461426e-01,4.085209802724421024e-04
1.036167517304420471e-01,-7.953099906444549561e-03,5.691497921943664551e-01,5.676091313362121582e-01,6.233453284949064255e-03
7.725300192832946777e-01,8.100067973136901855e-01,5.733813047409057617e-01,5.836110711097717285e-01,7.764996262267231941e-04
5.357142686843872070e-01,4.735901951789855957e-01,5.763363838195800781e-01,5.462960004806518555e-01,2.471700310707092285e-03
6.815406084060668945e-01,8.080807924270629883e-01,5.778261423110961914e-01,5.564393997192382812e-01,8.250062353909015656e-03
8.943794369697570801e-01,9.952585101127624512e-01,5.596081018447875977e-01,5.435434579849243164e-01,5.238687153905630112e-03
1.247711405158042908e-01,3.098512534052133560e-04,5.616788864135742188e-01,5.597596168518066406e-01,7.824369706213474274e-03
5.605341196060180664e-01,4.358495175838470459e-01,5.896127820014953613e-01,5.632626414299011230e-01,9.212790057063102722e-03
2.270406037569046021e-01,3.139119744300842285e-01,5.894306302070617676e-01,5.766686201095581055e-01,3.863066900521516800e-03
9.105951189994812012e-01,9.951587915420532227e-01,5.620582103729248047e-01,5.439000129699707031e-01,3.761078463867306709e-03
2.899680733680725098e-01,2.938079237937927246e-01,5.675446987152099609e-01,5.714797377586364746e-01,1.552237081341445446e-04
5.258736610412597656e-01,5.001004338264465332e-01,5.689327716827392578e-01,5.454545617103576660e-01,6.146095111034810543e-04
2.060813605785369873e-01,2.288463525474071503e-02,6.074251532554626465e-01,5.654949545860290527e-01,1.767726242542266846e-02
4.374071955680847168e-01,4.845938086509704590e-01,5.646800994873046875e-01,5.592808723449707031e-01,1.138884574174880981e-03
3.058519959449768066e-01,3.231337964534759521e-01,5.613400340080261230e-01,5.500515103340148926e-01,2.324338565813377500e-04
7.863258570432662964e-02,1.836221963167190552e-01,5.752872228622436523e-01,5.493060350418090820e-01,5.874345079064369202e-03
5.636128187179565430e-01,6.021276712417602539e-01,5.697627067565917969e-01,5.544191598892211914e-01,8.826195262372493744e-04
5.414274930953979492e-01,4.121827185153961182e-01,5.858801603317260742e-01,5.719454288482666016e-01,8.594311773777008057e-03
4.837436676025390625e-01,5.407960414886474609e-01,5.678938627243041992e-01,5.582960247993469238e-01,1.968924421817064285e-03
3.717276453971862793e-01,3.405230045318603516e-01,5.871748328208923340e-01,6.088606119155883789e-01,9.428606135770678520e-04
2.427210807800292969e-01,2.491990774869918823e-01,5.652226805686950684e-01,5.552444458007812500e-01,1.139568485086783767e-04
2.179727554321289062e-01,1.618686914443969727e-01,5.777202844619750977e-01,5.543050765991210938e-01,1.853415160439908504e-03
9.221769571304321289e-01,9.864295125007629395e-01,5.839289426803588867e-01,6.060605645179748535e-01,2.405002247542142868e-03
